Temperature_A,Data Month,Temperature_D,Humidity_A,Humidity_D,Precipitation,Water_Thickness_GRACE
27.330927,200209,26.097437,66.400955,82.51059,8.227589e-05,7.299641132354736
26.62414,200210,25.58288,68.27385,84.69371,7.682481e-05,9.628179550170898
25.923548,200211,24.55224,68.42845,83.41566,3.409486e-05,6.310883522033691
24.808466,200212,23.892176,68.59291,85.27067,1.0145905e-05,3.9186270236968994
24.751734,200301,23.525812,65.20275,78.51865,1.1434583e-05,0.3249410092830658
27.19253,200302,25.010828,63.756,76.5796,7.4433988e-06,-3.85516572
29.031336,200303,25.290094,60.32128,78.69444,1.5838803e-05,-10.09536743
29.375391,200304,25.005579,62.374542,81.53318,1.1922986e-05,-13.64170837
28.630365,200305,25.608912,63.891624,81.96896,5.4603155e-05,-16.63168526
27.526361,200306,25.843225,65.61369,83.42568,9.712414e-05,
27.713709,200307,25.80932,65.02267,83.072205,7.565719e-05,-0.741422534
27.92309,200308,26.12359,63.159775,82.569016,7.204697e-05,2.503196954727173
27.730799,200309,26.182642,65.892525,83.26451,7.835453e-05,4.355030059814453
26.698236,200310,25.915522,68.30234,84.9416,7.2160685e-05,8.856215476989746
25.53802,200311,24.99505,69.02267,83.94463,7.321347e-05,7.896749973297119
24.100855,200312,23.50567,67.508156,81.97259,2.906417e-05,6.040073394775391
25.432947,200401,24.404718,65.73727,75.609406,3.790053e-06,3.8240885734558105
27.16781,200402,24.675531,64.67798,77.9599,1.5550553e-05,-4.169688702
27.303614,200403,24.60293,61.533817,79.54622,1.6449563e-05,-8.976729393
28.280024,200404,24.391443,61.572292,81.774345,2.2562515e-05,-12.35759068
27.624018,200405,25.19781,67.378174,85.638695,6.416098e-05,-10.73353767
27.343775,200406,25.57873,66.617676,82.34227,8.863192e-05,-3.860886335
27.548212,200407,25.474604,65.83862,84.48029,8.1784e-05,0.4781906008720398
27.936426,200408,25.85235,65.86781,82.33245,6.432605e-05,2.4905898571014404
27.605982,200409,26.089624,66.23435,83.11343,6.561107e-05,0.7398356199264526
26.640802,200410,25.710474,68.79363,84.00607,5.8833884e-05,6.198512554168701
25.62243,200411,24.792383,66.8865,80.63676,3.611382e-05,4.925928115844727
25.07812,200412,24.058863,67.26992,79.65228,1.872639e-05,2.176122665405273
24.609522,200501,23.217371,63.81368,78.05053,9.8091505e-06,0.6844483613967896
26.469965,200502,23.892664,60.97408,76.86019,7.315712e-07,-7.961066723
28.417444,200503,24.775476,66.053856,83.5393,1.0742954e-05,-15.20275116
29.350763,200504,25.318415,63.689793,83.33695,1.1675669e-05,-14.64758682
28.0617,200505,25.424707,67.602264,84.23011,6.399066e-05,-16.72689247
27.575434,200506,26.349298,70.869156,83.21295,0.00012546485,-6.626008511
27.628107,200507,26.267359,67.08551,82.441635,7.8660465e-05,1.4910032749176023
27.572107,200508,26.1867,67.20125,82.65533,8.279275e-05,5.989481449127197
27.078577,200509,26.204737,67.719025,81.86191,9.187404e-05,5.258405685424805
26.382288,200510,25.65722,67.40565,82.82436,0.0001266507,10.67834186553955
25.687616,200511,24.989313,68.51502,81.750275,6.708223e-05,9.960423469543455
25.126856,200512,24.33816,67.1168,81.26047,2.1489284e-05,5.544565200805664
24.704737,200601,24.34408,68.400856,80.023094,3.0629755e-05,2.1050238609313965
27.231134,200602,24.928278,64.68622,74.21867,1.603414e-05,-1.345900893
28.261896,200603,24.408258,61.993305,76.53284,9.503167e-06,-7.934767723
28.505976,200604,24.810602,62.861004,80.69795,1.3734492e-05,-11.04159069
28.56338,200605,25.364344,63.742466,82.927536,4.393953e-05,-11.21763706
27.490778,200606,25.89538,66.50357,82.97683,0.00010716107,-4.271413326
27.391352,200607,25.77511,67.39676,84.25286,7.219587e-05,3.8349339962005615
27.752192,200608,26.242548,66.89303,83.01042,6.209033e-05,6.199199676513672
27.330317,200609,25.872095,67.82833,84.31259,8.0633385e-05,7.670741081237793
26.506037,200610,25.968195,68.985634,84.3351,5.8688674e-05,10.16562843322754
25.561975,200611,25.213617,68.62788,80.495735,3.2288903e-05,7.729034423828125
24.177118,200612,24.001673,72.22019,82.984245,3.9592127e-05,6.735625743865967
25.272303,200701,24.104242,64.61786,79.20549,1.3332325e-05,3.233750820159912
27.009699,200702,24.612238,63.452026,75.959984,3.311737e-07,-1.815551043
27.633936,200703,24.878138,64.894005,78.281,1.6862046e-05,-7.944256306
28.652155,200704,25.219507,64.88989,84.04058,1.6560942e-05,-12.75293636
28.539087,200705,25.58932,67.3825,83.97113,4.036383e-05,-12.18887615
27.778376,200706,25.77801,66.18032,84.43494,8.133904e-05,-7.085327148
27.679438,200707,25.805414,67.06488,84.22899,7.4661475e-05,-1.685599327
